,Date,Open,Low,High,Close,S/L
0,2006-10-02,75.1,74.3,75.87,74.86,Null
1,2006-10-03,74.45,73.19,74.95,74.07,Null
2,2006-10-04,74.1,73.16,75.462,75.38,Null
3,2006-10-05,74.53,74.13,76.16,74.83,Null
4,2006-10-06,74.42,73.81,75.04,74.22,Null
5,2006-10-09,73.8,73.53,75.08,74.63,Null
6,2006-10-10,74.54,73.08,74.58,73.81,Null
7,2006-10-11,73.42,72.6,73.98,73.23,Stoploss
8,2006-10-12,73.61,73.6,75.39,75.26,Null
9,2006-10-13,75.63,74.74,76.88,75.02,Null
10,2006-10-16,75.19,74.789,75.88,75.4,Null
11,2006-10-17,75.04,74.04,75.27,74.29,Null
12,2006-10-18,74.75,73.91,78.59,74.53,Null
13,2006-10-19,79.26,78.16,79.95,78.99,Null
14,2006-10-20,78.97,78.67,79.99,79.95,Null
15,2006-10-23,79.99,79.75,81.9,81.46,Null
16,2006-10-24,81.21,80.2,81.68,81.05,Null
17,2006-10-25,81.35,81.01,82.0,81.68,Null
18,2006-10-26,81.9,81.13,82.6,82.19,Null
19,2006-10-27,81.75,80.01,82.45,80.41,Null
20,2006-10-30,79.985,79.5,80.9,80.42,Null
21,2006-10-31,81.45,80.23,81.68,81.08,Null
22,2006-11-01,81.1,78.36,81.38,79.16,Stoploss
23,2006-11-02,78.915,78.5,79.32,78.98,Stoploss
24,2006-11-03,79.36,77.79,79.53,78.29,Stoploss
25,2006-11-06,78.95,78.43,80.06,79.71,Stoploss
26,2006-11-07,80.45,80.13,81.0,80.51,Null
27,2006-11-08,80.02,79.89,82.69,82.45,Null
28,2006-11-09,82.9,82.12,84.69,83.34,Null
29,2006-11-10,83.55,82.5,83.6,83.12,Null
30,2006-11-13,83.22,82.64,84.45,84.35,Null
31,2006-11-14,84.8,83.9,85.0,85.0,Null
32,2006-11-15,85.05,84.0,85.9,84.05,Null
33,2006-11-16,84.87,84.62,86.3,85.61,Null
34,2006-11-17,85.145,85.0,85.94,85.85,Null
35,2006-11-20,85.4,85.2,87.0,86.47,Null
36,2006-11-21,87.42,87.11,88.6,88.6,Null
37,2006-11-22,88.99,87.85,90.75,90.31,Null
38,2006-11-24,89.53,89.5,93.08,91.63,Null
39,2006-11-27,92.51,89.5,93.15899999999999,89.54,Stoploss
40,2006-11-28,90.36,89.91,91.97,91.81,Null
41,2006-11-29,93.0,90.25,93.15,91.8,Null
42,2006-11-30,92.215,91.06,92.68,91.66,Null
43,2006-12-01,91.8,90.1,92.33,91.32,Null
44,2006-12-04,91.88,90.5,92.05,91.12,Null
45,2006-12-05,91.655,90.87,92.33,91.27,Null
46,2006-12-06,90.645,89.67,91.39,89.83,Null
47,2006-12-07,90.025,86.9,90.5,87.04,Stoploss
48,2006-12-08,87.23,87.0,89.39,88.26,Stoploss
49,2006-12-11,88.9,88.05,89.3,88.75,Stoploss
50,2006-12-12,88.61,85.53,88.84,86.14,Stoploss
51,2006-12-13,87.95,87.15,89.07,89.05,Stoploss
52,2006-12-14,89.05,88.26,90.0,88.55,Stoploss
53,2006-12-15,89.02,87.33,89.22,87.72,Stoploss
54,2006-12-18,87.625,84.59,88.0,85.47,Stoploss
55,2006-12-19,84.73,83.62,86.68,86.31,Stoploss
56,2006-12-20,86.47,84.74,86.67,84.76,Stoploss
57,2006-12-21,84.6956,82.2,85.48,82.9,Stoploss
58,2006-12-22,83.46,81.6,84.0391,82.2,Stoploss
59,2006-12-26,82.15,80.89,82.57,81.51,Stoploss
60,2006-12-27,78.15,76.77,82.0,81.52,Stoploss
61,2006-12-28,80.22,79.65,81.25,80.87,Stoploss
62,2006-12-29,83.95,83.36,85.4,84.84,Stoploss
63,2007-01-03,86.29,81.9,86.58,83.8,Stoploss
64,2007-01-04,84.05,83.82,85.95,85.66,Stoploss
65,2007-01-05,85.77,84.4,86.2,85.05,Stoploss
66,2007-01-08,85.96,85.28,86.53,85.47,Stoploss
67,2007-01-09,86.45,85.15,92.98,92.57,Null
68,2007-01-10,94.75,93.45,97.8,97.0,Null
69,2007-01-11,95.94,95.1,96.78,95.8,Null
70,2007-01-12,94.59,93.23,95.06,94.62,Stoploss
71,2007-01-16,95.68,95.45,97.25,97.1,Null
72,2007-01-17,97.56,94.82,97.6,94.95,Stoploss
73,2007-01-18,92.1,89.05,92.11,89.07,Stoploss
74,2007-01-19,88.63,88.12,89.65,88.5,Stoploss
75,2007-01-22,89.14,85.65,89.16,86.79,Stoploss
76,2007-01-23,85.73,85.51,87.51,85.7,Stoploss
77,2007-01-24,86.68,86.08,87.15,86.7,Stoploss
78,2007-01-25,87.111,86.03,88.5,86.25,Stoploss
79,2007-01-26,87.115,84.99,87.37,85.38,Stoploss
80,2007-01-29,86.3,85.53,86.65,85.94,Stoploss
81,2007-01-30,86.43,85.25,86.49,85.55,Stoploss
82,2007-01-31,84.86,84.35,86.0,85.73,Stoploss
83,2007-02-01,86.23,84.74,86.27,84.74,Stoploss
84,2007-02-02,84.12,83.7,85.25,84.75,Stoploss
85,2007-02-05,84.3,83.94,85.23,83.94,Stoploss
86,2007-02-06,84.45,82.86,84.47,84.15,Stoploss
87,2007-02-07,84.48,83.55,86.38,86.15,Stoploss
88,2007-02-08,85.43,85.41,86.51,86.18,Stoploss
89,2007-02-09,85.88,83.21,86.2,83.27,Stoploss
90,2007-02-12,84.43,83.63,85.18,84.88,Stoploss
91,2007-02-13,85.16,84.3,85.29,84.7,Stoploss
92,2007-02-14,84.63,84.57,85.64,85.3,Stoploss
93,2007-02-15,85.44,84.78,85.62,85.21,Stoploss
94,2007-02-16,85.25,84.66,85.41,84.83,Stoploss
95,2007-02-20,84.65,84.16,86.16,85.9,Stoploss
96,2007-02-21,85.98,85.96,89.49,89.2,Stoploss
97,2007-02-22,90.8,88.53,90.81,89.51,Stoploss
98,2007-02-23,89.16,88.85,90.34,89.07,Stoploss
99,2007-02-26,89.84,87.61,90.0,88.65,Stoploss
