,Date,Open,High,Low,Close
0,2006-10-02,75.1,75.87,74.3,74.86
1,2006-10-03,74.45,74.95,73.19,74.07
2,2006-10-04,74.1,75.462,73.16,75.38
3,2006-10-05,74.53,76.16,74.13,74.83
4,2006-10-06,74.42,75.04,73.81,74.22
5,2006-10-09,73.8,75.08,73.53,74.63
6,2006-10-10,74.54,74.58,73.08,73.81
7,2006-10-11,73.42,73.98,72.6,73.23
8,2006-10-12,73.61,75.39,73.6,75.26
9,2006-10-13,75.63,76.88,74.74,75.02
10,2006-10-16,75.19,75.88,74.789,75.4
11,2006-10-17,75.04,75.27,74.04,74.29
12,2006-10-18,74.75,78.59,73.91,74.53
13,2006-10-19,79.26,79.95,78.16,78.99
14,2006-10-20,78.97,79.99,78.67,79.95
15,2006-10-23,79.99,81.9,79.75,81.46
16,2006-10-24,81.21,81.68,80.2,81.05
17,2006-10-25,81.35,82.0,81.01,81.68
18,2006-10-26,81.9,82.6,81.13,82.19
19,2006-10-27,81.75,82.45,80.01,80.41
20,2006-10-30,79.985,80.9,79.5,80.42
21,2006-10-31,81.45,81.68,80.23,81.08
22,2006-11-01,81.1,81.38,78.36,79.16
23,2006-11-02,78.915,79.32,78.5,78.98
24,2006-11-03,79.36,79.53,77.79,78.29
25,2006-11-06,78.95,80.06,78.43,79.71
26,2006-11-07,80.45,81.0,80.13,80.51
27,2006-11-08,80.02,82.69,79.89,82.45
28,2006-11-09,82.9,84.69,82.12,83.34
29,2006-11-10,83.55,83.6,82.5,83.12
30,2006-11-13,83.22,84.45,82.64,84.35
31,2006-11-14,84.8,85.0,83.9,85.0
32,2006-11-15,85.05,85.9,84.0,84.05
33,2006-11-16,84.87,86.3,84.62,85.61
34,2006-11-17,85.145,85.94,85.0,85.85
35,2006-11-20,85.4,87.0,85.2,86.47
36,2006-11-21,87.42,88.6,87.11,88.6
37,2006-11-22,88.99,90.75,87.85,90.31
38,2006-11-24,89.53,93.08,89.5,91.63
39,2006-11-27,92.51,93.15899999999999,89.5,89.54
